,0,1,2
0,73.0,29.6,2
1,73.0,29.6,2
2,73.0,29.6,2
3,73.0,29.6,2
4,73.0,29.6,2
5,73.0,29.6,2
6,73.0,29.6,2
7,73.0,29.6,2
8,72.0,29.6,2
9,72.0,29.6,2
10,73.0,29.6,2
11,73.0,29.6,2
12,73.0,29.6,2
13,73.0,29.6,2
14,73.0,29.6,2
15,73.0,29.6,2
16,73.0,29.6,2
17,73.0,29.6,2
18,73.0,29.6,2
19,73.0,29.6,2
20,73.0,29.6,2
21,73.0,29.6,2
22,73.0,29.6,2
23,73.0,29.6,2
24,73.0,29.6,2
25,73.0,29.6,2
26,73.0,29.6,2
27,73.0,29.6,2
28,73.0,29.6,2
29,73.0,29.6,2
30,73.0,29.6,2
31,73.0,29.6,2
32,73.0,29.6,2
33,73.0,29.6,2
34,73.0,29.6,2
35,73.0,29.6,2
36,73.0,29.6,2
37,73.0,29.6,2
38,73.0,29.6,2
39,73.0,29.6,2
40,73.0,29.6,2
41,73.0,29.6,2
42,73.0,29.6,2
43,73.0,29.6,2
44,73.0,29.6,2
45,73.0,29.6,2
46,72.0,29.6,2
47,72.0,29.6,2
48,72.0,29.6,2
49,72.0,29.6,2
50,72.0,29.6,2
51,72.0,29.6,2
52,72.0,29.6,2
53,72.0,29.6,2
54,72.0,29.6,2
55,72.0,29.6,2
56,73.0,29.6,2
57,73.0,29.6,2
58,73.0,29.6,2
59,73.0,29.6,2
60,73.0,29.6,2
61,73.0,29.6,2
62,73.0,29.6,2
63,73.0,29.6,2
64,73.0,29.6,2
65,73.0,29.6,2
66,73.0,29.6,2
67,73.0,29.6,2
68,73.0,29.5,2
69,73.0,29.5,2
70,73.0,29.5,2
71,73.0,29.5,2
72,73.0,29.6,2
73,73.0,29.6,2
74,73.0,29.5,2
75,73.0,29.5,2
76,73.0,29.5,2
77,73.0,29.5,2
78,73.0,29.5,2
79,73.0,29.5,2
80,73.0,29.5,2
81,73.0,29.5,2
82,73.0,29.5,2
83,73.0,29.5,2
84,73.0,29.5,2
85,73.0,29.5,2
86,73.0,29.5,2
87,73.0,29.5,2
88,73.0,29.5,2
89,73.0,29.5,2
90,73.0,29.5,2
91,73.0,29.5,2
92,73.0,29.5,2
93,73.0,29.5,2
94,73.0,29.5,2
95,73.0,29.5,2
96,73.0,29.5,2
97,73.0,29.5,2
98,73.0,29.5,2
99,73.0,29.5,2
100,73.0,29.5,2
101,73.0,29.5,2
102,73.0,29.5,2
103,73.0,29.5,2
104,73.0,29.5,2
105,73.0,29.5,2
106,73.0,29.5,2
107,73.0,29.5,2
108,73.0,29.5,2
109,73.0,29.5,2
110,73.0,29.5,2
111,73.0,29.5,2
112,73.0,29.5,2
113,73.0,29.5,2
114,73.0,29.5,2
115,73.0,29.5,2
116,73.0,29.5,2
117,73.0,29.5,2
118,73.0,29.5,2
119,73.0,29.5,2
120,73.0,29.5,2
121,73.0,29.5,2
122,73.0,29.5,2
123,73.0,29.5,2
124,73.0,29.5,2
125,73.0,29.5,2
126,73.0,29.5,2
127,73.0,29.5,2
128,73.0,29.5,2
129,73.0,29.5,2
130,73.0,29.5,2
131,73.0,29.5,2
132,73.0,29.5,2
133,73.0,29.5,2
134,73.0,29.5,2
135,73.0,29.5,2
136,73.0,29.5,2
137,73.0,29.5,2
138,73.0,29.5,2
139,73.0,29.5,2
140,73.0,29.5,2
141,73.0,29.5,2
142,73.0,29.5,2
143,73.0,29.5,2
144,73.0,29.5,2
145,73.0,29.5,2
146,73.0,29.5,2
147,73.0,29.5,2
148,73.0,29.5,2
149,73.0,29.5,2
150,73.0,29.5,2
151,73.0,29.5,2
152,73.0,29.5,2
153,73.0,29.5,2
154,73.0,29.5,2
155,73.0,29.5,2
156,73.0,29.5,2
157,73.0,29.5,2
158,73.0,29.5,2
159,73.0,29.5,2
160,73.0,29.5,2
161,73.0,29.5,2
162,73.0,29.5,2
163,73.0,29.5,2
164,73.0,29.5,2
165,73.0,29.5,2
166,73.0,29.5,2
167,73.0,29.5,2
168,73.0,29.5,2
169,73.0,29.5,2
170,72.0,29.5,2
171,72.0,29.5,2
172,73.0,29.5,2
173,73.0,29.5,2
174,73.0,29.5,2
175,73.0,29.5,2
176,73.0,29.5,2
177,73.0,29.5,2
178,73.0,29.5,2
179,73.0,29.5,2
180,73.0,29.5,2
181,73.0,29.5,2
182,72.0,29.5,2
183,72.0,29.5,2
184,72.0,29.5,2
185,72.0,29.5,2
186,72.0,29.5,2
187,72.0,29.5,2
188,72.0,29.5,2
189,72.0,29.5,2
190,73.0,29.5,2
191,73.0,29.5,2
192,72.0,29.5,2
193,72.0,29.5,2
194,73.0,29.5,2
195,73.0,29.5,2
196,73.0,29.5,2
197,73.0,29.5,2
198,73.0,29.5,2
199,73.0,29.5,2
